'account_number','service_class','service_index','oc_class','char1','char2'
'7048401020',S008,'800001806','','',''
'7048401020',S008,'800002970','','',''
'7048401020',S008,'800007170','','',''
'7048401020',S008,'800002600','','',''
'7048401020',S008,'800002470','','',''
'7048401020',S008,'800002501','','',''
'7047505020',S004,'800007377','61907996','',''
'7047505020',S004,'800001855','61907996','',''
'7047505020',S004,'800007313','61907996','',''
'7047505020',S004,'800007312','61907996','',''
'7047505020',S004,'800007447','61907996','',''
'7047505020',S004,'800006215','61907996','',''
'7047505020',S004,'800007611','61907996','',''
'7047505020',S004,'800001918','61907996','',''
'7047505020',S004,'800007555','61907996','',''
'7047505020',S004,'800001821','61907996','',''
'7047505020',S004,'800001774','61907996','',''
'7047505020',S004,'800003250','61907996','',''
'7047505020',S004,'800003254','61907996','',''
'7047505020',S004,'800003261','61907996','',''
'7047505020',S036,'800001820','61907996','',''
'7047505020',S004,'800010284','61907996','',''
'7047505020',S004,'800001820','61907996','',''
'7047505020',S004,'800001931','61907996','',''
'7047505020',S004,'800007397','61907996','',''
'7047505020',S004,'800005015','61907996','',''
'7047505020',S004,'800001828','61907996','',''
'7047505020',S004,'800001773','61907996','',''
'7047505020',S004,'800010584','61907996','',''
'7047505020',S004,'800010583','61907996','',''
'7047505020',S004,'800010586','61907996','',''
'7047505020',S004,'800010588','61907996','',''
'7047505020',S004,'800010589','61907996','',''
'7047505020',S064,'800005015','61907996','',''
'7047505020',S004,'800006330','61907996','',''
'7047505020',S004,'800007556','61907996','',''
'7047505020',S004,'800007554','61907996','',''
'7047505020',S004,'800003262','61907996','',''
'7047505020',S004,'800008766','61907996','',''
'7047505020',S004,'800000717','61907996','',''
'7047505020',S004,'800001290','61907996','',''
'7047505020',S004,'800006662','61907996','',''
'7047505020',S004,'800003306','61907996','',''
'7047505020',S004,'800002436','61907996','',''
'7047505020',S004,'800008764','61907996','',''
'7047505020',S004,'800007467','61907996','',''
'7047505020',S004,'800006286','61907996','',''
'7047505020',S004,'800000712','61907996','',''
'7047505020',S004,'800006184','61907996','',''
